time,ax (m/s^2),ay (m/s^2),az (m/s^2),aT (m/s^2)
5.437827,0.0614,-0.2879,-1.3752,1.406
5.448091,-0.0620,-0.1077,-1.3292,1.335
5.458900,-0.0550,-0.0370,-1.1206,1.123
5.467785,0.0212,0.0346,-0.5731,0.575
5.480053,0.2697,0.0368,-0.0359,0.275
5.488166,0.6223,-0.1020,0.4011,0.747
5.498314,1.0000,-0.7150,0.5192,1.334
5.512037,1.0707,-1.4417,0.0386,1.796
5.518383,0.6881,-1.5451,-0.6788,1.822
5.528314,0.1081,-1.1077,-1.1186,1.578
5.538205,-0.2366,-0.6802,-1.3166,1.501
5.548106,-0.3099,-0.5289,-1.2138,1.360
5.562366,-0.1887,-0.4409,-0.8207,0.951
5.568208,0.0662,-0.3302,-0.5212,0.621
5.578379,0.3864,-0.3226,-0.1948,0.540
5.588535,0.6656,-0.4332,-0.0199,0.794
5.598426,0.7879,-0.5799,-0.1309,0.987
5.608658,0.8028,-0.6876,-0.3526,1.114
5.618217,0.7646,-0.7810,-0.6866,1.291
5.630232,0.6786,-0.7018,-0.9602,1.369
5.646140,0.5827,-0.5772,-1.1281,1.395
5.649906,0.4741,-0.4772,-1.0296,1.230
5.659825,0.3775,-0.5143,-0.8943,1.099
5.669164,0.3773,-0.5124,-0.6807,0.932
5.679284,0.4857,-0.6178,-0.3910,0.878
5.694938,0.6572,-0.8390,-0.1098,1.071
5.699567,0.6577,-1.0424,0.0830,1.235
5.709498,0.5013,-1.0945,0.0614,1.205
5.719664,0.2813,-1.0366,0.0203,1.074
5.730007,0.2391,-0.9054,-0.1437,0.947
5.745671,0.3440,-0.8805,-0.2184,0.970
5.750506,0.6070,-0.9047,-0.2524,1.118
5.759840,0.7743,-0.9603,-0.3085,1.272
5.770108,0.9608,-1.0970,-0.3913,1.510
5.780992,1.1438,-1.2503,-0.6842,1.827
5.795092,1.3654,-1.2976,-0.9428,2.106
5.800594,1.5576,-1.2695,-1.1303,2.306
5.810448,1.7334,-1.2592,-1.2842,2.498
5.826107,1.7769,-1.3256,-1.4164,2.631
5.835967,1.5967,-1.3910,-1.5294,2.612
5.845738,1.3650,-1.5497,-1.6568,2.648
5.856740,1.2305,-1.9832,-1.7095,2.893
5.866335,1.1502,-2.5095,-1.8407,3.318
5.876596,0.9487,-2.9155,-2.0588,3.693
5.886394,0.6589,-3.1723,-2.3587,4.008
5.896991,0.3679,-3.3474,-2.5706,4.237
5.907101,0.0232,-3.5240,-2.8527,4.534
5.916850,-0.1605,-3.6985,-2.8982,4.701
5.926359,-0.1628,-3.9998,-2.9521,4.974
5.936665,-0.2659,-4.1834,-3.0931,5.210
5.947182,-0.6618,-4.0073,-3.1805,5.159
5.963095,-1.3283,-3.4394,-3.0889,4.810
5.967182,-1.9491,-2.8451,-2.7809,4.430
5.976787,-2.4580,-2.3206,-2.5334,4.224
5.987094,-2.5486,-1.8800,-2.5666,4.076
5.997846,-2.3511,-1.4008,-2.6009,3.776
6.008681,-1.8451,-0.9165,-2.4987,3.239
6.018729,-1.2571,-0.6326,-2.2469,2.651
6.032205,-0.5142,-0.6877,-1.8135,2.007
6.038827,0.1984,-0.6160,-1.0827,1.261
6.047513,0.8449,-0.4878,-0.3304,1.030
6.059704,1.4653,-0.4735,0.4604,1.607
6.067988,1.9382,-0.4759,1.2354,2.347
6.077520,2.1464,-0.5134,1.7759,2.833
6.088135,1.8396,-0.3826,2.3663,3.022
6.097705,1.1330,-0.1992,2.8459,3.070
6.108722,0.2330,0.0162,3.0764,3.085
6.118915,-0.6495,0.4934,3.0662,3.173
6.128686,-1.1001,0.9979,2.6764,3.061
6.138772,-0.9511,1.1531,1.9561,2.462
6.149223,-0.5545,0.8626,1.1187,1.518
6.161498,-0.2699,0.4625,0.1786,0.564
6.169718,-0.4884,0.3558,-0.7958,0.999
6.179624,-0.8775,0.6440,-1.2951,1.692
6.189126,-1.0625,0.9642,-1.3895,1.997
6.199373,-0.8308,0.8896,-0.9992,1.575
6.208906,-0.1643,0.3081,-0.0550,0.353
6.218222,0.4514,-0.3660,1.3496,1.469
6.229581,0.5506,-0.6865,2.8443,2.977
6.245561,0.1428,-0.6676,4.1199,4.176
6.249210,-0.4972,-0.4010,5.0403,5.081
6.259146,-1.0901,-0.1129,5.5137,5.622
6.269387,-1.4641,0.0063,5.4989,5.690
6.279848,-1.4560,-0.1025,5.1109,5.315
6.295903,-1.2739,-0.3282,4.5357,4.723
6.299502,-1.1089,-0.5489,3.8840,4.076
6.312330,-0.9972,-0.7431,3.3315,3.556
6.319848,-1.0138,-0.8275,2.9579,3.234
6.329511,-1.1505,-0.7027,2.7176,3.034
6.344996,-1.2479,-0.5763,2.5713,2.916
6.349624,-1.1621,-0.5640,2.3610,2.691
6.361077,-0.9724,-0.6710,2.1911,2.489
6.370866,-0.8595,-0.7651,1.9992,2.307
6.381452,-0.8143,-0.6665,1.8299,2.111
6.397981,-0.7769,-0.4945,1.7012,1.934
6.401405,-0.6718,-0.3718,1.6127,1.786
6.410646,-0.5813,-0.3255,1.7262,1.850
6.418360,-0.5255,-0.1850,1.9345,2.013
6.426548,-0.4590,-0.1376,2.1100,2.164
6.436082,-0.3780,-0.1918,2.1765,2.217
6.446344,-0.3709,-0.2303,2.1754,2.219
6.455957,-0.4356,-0.1869,2.0581,2.112
6.465875,-0.4143,-0.2309,1.9221,1.980
6.477154,-0.3851,-0.3592,1.6959,1.776
6.486409,-0.5137,-0.6036,1.5365,1.729
6.496206,-0.7899,-0.7202,1.7298,2.033
6.512599,-1.1054,-0.6709,2.3039,2.642
6.516260,-1.3416,-0.5583,2.9103,3.253
6.527756,-1.4632,-0.5285,3.3604,3.703
6.536907,-1.4964,-0.4951,3.6865,4.009
6.546443,-1.3374,-0.3509,3.4980,3.761
6.560862,-0.8674,-0.2682,3.0189,3.152
6.566568,-0.3088,-0.2200,2.7018,2.728
6.580182,0.1227,0.0171,2.8222,2.825
6.586647,0.5562,0.3435,3.3346,3.398
6.596740,0.9872,0.5406,3.8563,4.017
6.612648,1.2662,0.6414,4.1772,4.412
6.618273,1.4652,0.6898,4.0784,4.388
6.627096,1.6646,0.7175,3.5116,3.952
6.637613,1.9680,0.7743,2.5290,3.297
6.648100,2.4953,0.7600,1.4500,2.984
6.662633,3.0940,0.6097,0.4099,3.180
6.667501,3.5279,0.5797,-0.5736,3.621
6.677900,3.5649,0.6510,-1.2529,3.834
6.688386,3.2668,0.8053,-1.5167,3.691
6.697583,2.8353,0.8025,-1.1776,3.173
6.715540,2.3280,0.6061,-0.9602,2.590
6.717908,1.9205,0.2777,-0.6670,2.052
6.728924,1.9106,-0.0377,-0.4409,1.961
6.738873,2.1026,-0.2067,-0.2793,2.131
6.748200,2.1441,-0.3528,0.1084,2.176
6.760917,1.7910,-0.5069,0.8370,2.041
6.768361,1.0799,-0.5623,1.1599,1.682
6.778936,0.2390,-0.7479,0.8224,1.137
6.788841,-0.4242,-1.1002,0.0793,1.182
6.798997,-0.7266,-1.6293,-0.8578,1.979
6.810470,-0.8262,-1.6871,-1.8794,2.657
6.819741,-0.8479,-1.3266,-2.2691,2.762
6.834438,-0.7291,-1.1494,-1.7651,2.229
6.847656,-0.5712,-1.2417,-0.8825,1.627
6.853253,-0.5416,-1.6393,-0.3622,1.764
6.863951,-0.6784,-2.2224,-0.2702,2.339
6.869995,-1.0036,-2.8140,-0.6044,3.048
6.879216,-1.3557,-3.3080,-1.3865,3.834
6.890381,-1.7151,-3.5854,-2.0969,4.494
6.900677,-2.1094,-3.4798,-2.6849,4.875
6.910841,-2.5003,-3.1566,-3.0073,5.026
6.920989,-2.6867,-2.8633,-2.9929,4.937
6.930230,-2.7192,-2.7017,-2.5972,4.630
6.946492,-2.5764,-2.8341,-2.0785,4.358
6.950575,-2.2350,-3.0754,-1.5319,4.099
6.959845,-1.7683,-3.1232,-1.0717,3.746
6.969842,-1.2425,-2.9691,-0.4125,3.245
6.980111,-0.6611,-2.8376,0.3886,2.939
6.996287,-0.2407,-2.7295,0.9594,2.903
7.001371,-0.0920,-2.6870,1.0785,2.897
7.016507,-0.1966,-2.6788,0.6576,2.765
7.029587,-0.5440,-2.4911,-0.0564,2.550
7.035474,-0.8394,-2.3608,-0.7715,2.622
7.045610,-0.9850,-2.2569,-1.1922,2.736
7.056527,-1.0675,-2.1358,-1.4242,2.780
7.065787,-1.0708,-2.0166,-1.4753,2.718
7.078623,-0.8667,-1.9612,-1.3917,2.556
7.085892,-0.5954,-1.9137,-1.1635,2.317
7.096239,-0.4230,-1.6703,-0.9438,1.965
7.109523,-0.2198,-1.5675,-0.7279,1.742
7.116363,-0.1374,-1.4995,-0.6016,1.622
7.126677,-0.0887,-1.4128,-0.7080,1.583
7.136726,-0.1531,-1.3380,-0.8791,1.608
7.147098,-0.3108,-1.2082,-0.9733,1.582
7.162586,-0.5118,-0.9965,-0.9097,1.443
7.167175,-0.6390,-0.7459,-0.6861,1.198
7.176676,-0.6616,-0.5121,-0.4837,0.966
7.186988,-0.5608,-0.3530,-0.3337,0.742
7.197557,-0.3547,-0.1679,-0.0878,0.402
7.211490,-0.0538,-0.0077,0.1028,0.116
7.217621,0.3087,0.0851,0.2251,0.391
7.230065,0.5762,0.1967,0.4124,0.735
7.237777,0.6912,0.3723,0.5179,0.941
7.248010,0.6905,0.5025,0.4948,0.987
7.272864,0.6479,0.6693,0.4467,1.033
7.274792,0.5910,0.7709,0.4338,1.064
7.290125,0.6254,0.8877,0.3531,1.142
7.291496,0.7097,0.8794,0.2728,1.163
7.300965,0.7683,0.7710,0.1979,1.106
7.312203,0.7182,0.7083,0.1848,1.025
7.317840,0.6674,0.7143,0.2394,1.006
7.328391,0.5614,0.6894,0.4047,0.977
7.337861,0.4258,0.7126,0.6407,1.049
7.348156,0.3728,0.7054,0.8373,1.157
7.368335,0.3580,0.6666,0.9181,1.190
7.369034,0.3496,0.6362,0.8229,1.097
7.378423,0.3422,0.6088,0.7558,1.029
7.388450,0.3243,0.5834,0.6279,0.916
7.398494,0.3097,0.4980,0.5197,0.784
7.409561,0.2088,0.4086,0.3693,0.589
7.418426,0.1699,0.3209,0.2587,0.446
7.429536,0.0953,0.3010,0.1342,0.343
7.440187,0.0376,0.2769,0.0203,0.280
7.449835,0.0207,0.2877,-0.0395,0.291
7.468841,0.0485,0.2748,-0.0465,0.283
7.470451,0.0487,0.2254,-0.0291,0.232
7.490741,0.0091,0.2033,0.0324,0.206
7.491992,-0.0965,0.1628,0.0678,0.201
7.501359,-0.1532,0.0952,0.0703,0.194
7.510065,-0.1872,0.0512,0.0709,0.207
7.520095,-0.2472,0.0604,0.0804,0.267
7.529423,-0.2279,0.0518,0.0434,0.238
7.544793,-0.2118,0.0350,-0.0076,0.215
7.550184,-0.1525,0.0396,0.0182,0.159
7.559921,-0.1356,-0.0090,0.1198,0.181
7.569979,-0.0639,0.0026,0.1892,0.200
7.580160,-0.0562,0.0110,0.3083,0.314
7.593977,-0.0954,0.0328,0.3309,0.346
7.600332,-0.1518,0.0221,0.1987,0.251
7.610522,-0.1601,0.0216,-0.0006,0.162
7.618494,-0.1159,0.0829,-0.1170,0.184
7.626086,0.0682,0.1645,-0.1867,0.258
7.636552,0.3084,0.1829,-0.2368,0.430
7.645865,0.4981,0.2204,-0.2090,0.583
7.656347,0.5508,0.2774,-0.1064,0.626
7.666863,0.5285,0.3583,-0.0143,0.639
7.679743,0.5032,0.3473,0.0089,0.611
7.686687,0.4773,0.3419,0.0522,0.589
7.695898,0.4297,0.3142,0.1027,0.542
7.709276,0.3915,0.3293,0.1295,0.528
7.716421,0.3146,0.3200,0.1077,0.461
7.728123,0.3081,0.3694,-0.0153,0.481
7.736816,0.4061,0.3911,-0.0776,0.569
7.746488,0.5782,0.4047,-0.1240,0.717
7.760169,0.7623,0.4137,-0.1369,0.878
7.766921,0.8636,0.4107,-0.1369,0.966
7.778941,0.9504,0.4163,-0.0941,1.042
7.786711,0.9658,0.4759,-0.0979,1.081
7.796752,1.0553,0.4770,-0.1264,1.165
7.815428,1.1917,0.4352,-0.1984,1.284
7.817514,1.3745,0.3489,-0.2463,1.439
7.828373,1.5242,0.2329,-0.2562,1.563
7.836995,1.6087,0.1304,-0.2554,1.634
7.847159,1.6922,-0.0016,-0.2505,1.711
7.860153,1.7258,-0.1101,-0.3946,1.774
7.868392,1.7661,-0.2449,-0.5097,1.854
7.877496,1.7215,-0.3709,-0.6407,1.874
7.887532,1.5964,-0.4637,-0.8187,1.853
7.898970,1.4689,-0.5534,-1.0361,1.881
7.910406,1.2942,-0.6516,-1.3023,1.948
7.917915,1.1505,-0.7397,-1.4524,1.995
7.927624,1.1014,-0.8851,-1.6183,2.148
7.937865,1.0899,-0.9970,-1.7535,2.293
7.948227,0.9881,-1.0006,-1.8853,2.352
7.958200,1.0028,-1.0249,-1.8973,2.378
7.968375,1.0482,-1.1221,-1.9245,2.462
7.978926,1.0436,-1.2643,-1.9559,2.552
7.989539,0.9432,-1.3933,-2.0074,2.619
7.999808,0.7746,-1.4431,-2.0516,2.625
8.012416,0.6292,-1.4990,-2.0306,2.601
8.018895,0.4481,-1.5515,-2.1257,2.670
8.028637,0.3470,-1.6754,-2.2652,2.839
8.042580,0.2439,-1.8886,-2.4445,3.099
8.048720,0.1390,-2.1995,-2.7419,3.518
8.061393,0.0453,-2.5672,-3.0407,3.980
8.069138,-0.1167,-3.0075,-3.4486,4.577
8.079421,-0.3410,-3.2930,-3.8113,5.048
8.092559,-0.4982,-3.4980,-3.9409,5.293
8.099300,-0.6285,-3.6135,-3.9570,5.395
8.111734,-0.8667,-3.6496,-3.6228,5.215
8.120311,-1.2590,-3.5081,-3.1308,4.868
8.135176,-1.6274,-3.3533,-2.5193,4.499
8.149639,-1.8783,-3.3649,-1.9791,4.332
8.150766,-2.0466,-3.4653,-1.5141,4.300
8.162455,-2.3469,-3.3678,-1.2173,4.282
8.169680,-2.7448,-3.0565,-0.8687,4.199
8.181201,-3.2238,-2.7536,-0.2643,4.248
8.192842,-3.5997,-2.3168,0.6936,4.337
8.200364,-3.6318,-1.9072,1.9222,4.530
8.210334,-3.3594,-1.5824,2.8328,4.671
8.228593,-2.9229,-1.3501,3.5597,4.800
8.235620,-2.5216,-1.3174,4.1114,5.000
8.245532,-2.2985,-1.3459,4.6102,5.324
8.255360,-2.3594,-1.2837,5.2113,5.863
8.266067,-2.4756,-0.9786,5.8165,6.397
8.279618,-2.4442,-0.5678,6.5301,6.996
8.286386,-2.2433,-0.3645,6.9045,7.269
8.297872,-2.1169,-0.3222,6.7658,7.097
8.306797,-2.1819,-0.3232,6.3140,6.688
8.316112,-2.3363,-0.4281,5.5622,6.048
8.332004,-2.4742,-0.7093,4.5787,5.253
8.336313,-2.5571,-1.0012,3.5941,4.523
8.346358,-2.6225,-1.4724,2.5470,3.941
8.358906,-2.8412,-1.8998,1.6032,3.775
8.366401,-3.2421,-1.9629,0.9062,3.897
8.376544,-3.6789,-2.1758,0.5626,4.311
8.387209,-4.2452,-2.3555,0.6404,4.897
8.397160,-4.6701,-2.6486,1.3246,5.530
8.409417,-4.9074,-3.1834,2.2235,6.258
8.417898,-4.9594,-3.6316,3.0917,6.881
8.426910,-4.6885,-3.9143,3.9042,7.249
8.437276,-4.3215,-3.9267,4.4472,7.340
8.453953,-3.7489,-3.6543,4.8395,7.129
8.470947,-3.2109,-3.3077,4.7390,6.611
8.472537,-2.6827,-2.9241,4.0638,5.680
8.482576,-2.1912,-2.4426,2.9902,4.439
8.487473,-1.3246,-1.7564,1.7244,2.795
8.497443,-0.0940,-1.3123,0.5012,1.408
8.512759,1.3223,-1.1108,-0.5147,1.802
8.517672,2.6406,-0.4759,-1.3658,3.011
8.529145,3.5632,0.6875,-2.1256,4.206
8.537924,3.9173,1.9933,-3.1955,5.434
8.548062,4.4022,2.6377,-3.7821,6.375
8.558656,5.0469,2.8688,-3.2262,6.642
8.568468,5.1836,2.7888,-2.7026,6.477
8.578071,4.6205,2.8985,-2.1763,5.873
8.589044,4.5079,2.6987,-1.4690,5.455
8.598492,4.2411,2.5855,-0.9617,5.059
8.609639,3.2156,1.8669,-0.6446,3.774
8.618668,1.9343,0.5400,-0.3064,2.032
8.633534,-0.2019,-1.5468,0.2785,1.585
8.713572,5.5180,-2.8676,2.4146,6.671
8.714106,10.1944,-1.2236,1.2260,10.341
8.714484,12.3158,-0.8324,-2.6508,12.625
8.714870,4.6466,0.1648,-2.3137,5.193
8.715214,-2.4420,0.7700,-6.9456,7.403
8.715602,-4.5043,-0.7612,-11.5879,12.456
8.716145,-3.8501,-0.2854,-11.5742,12.201
8.716614,-2.3931,0.9716,-10.9538,11.254
8.720628,-0.9876,2.0587,-10.0978,10.353
8.729253,2.5229,4.0620,-2.2845,5.299
8.743277,4.2357,3.8918,4.7887,7.485
8.749310,0.7869,2.5183,1.4816,3.026
8.759655,-4.6933,0.8265,0.1170,4.767
8.769753,-6.2710,-0.1638,1.6282,6.481
8.779625,-4.7609,-0.4539,4.9495,6.883
8.791124,-4.1442,-0.3777,4.9273,6.449
8.802024,-3.1090,0.5316,4.7192,5.676
8.810653,-2.0013,1.4606,4.9865,5.568
8.819465,-1.2262,1.7754,4.9671,5.415
8.827037,-0.6686,1.6700,4.7258,5.057
8.836879,-0.4941,1.2808,4.0184,4.246
8.846172,-0.2991,0.9112,3.2272,3.367
8.856445,0.2287,0.7305,2.9202,3.019
8.869851,0.9638,0.7240,2.6970,2.954
8.877739,1.4729,0.6745,2.3157,2.826
8.886069,1.7236,0.5531,1.7046,2.486
8.896057,1.7954,0.3318,1.0503,2.106
8.908304,2.2094,0.1153,1.0391,2.444
8.916353,2.6345,0.5186,1.4438,3.049
8.931096,1.2862,1.5333,0.9102,2.199
8.937829,1.0821,1.7239,1.1125,2.320
8.947109,0.4697,1.6267,0.3605,1.731
8.963361,0.3076,1.2759,-0.1020,1.316
8.966797,0.2727,1.0638,-0.3121,1.142
8.976606,0.3497,1.0233,-0.0126,1.081
8.986726,0.2490,0.9117,-0.0583,0.947
8.996686,-0.1314,0.6221,-0.6951,0.942
9.008962,-0.3189,0.1591,-1.4583,1.501
9.017014,-0.5186,-0.2917,-2.8485,2.910
9.029109,-0.6147,-0.5291,-4.6672,4.737
9.037628,-0.2402,-0.6349,-5.7230,5.763
9.047067,-0.2876,-0.8312,-6.6063,6.665
9.059356,-0.6238,-1.0663,-5.2673,5.410
9.067940,-1.2829,-2.4647,7.4397,7.942
9.077887,0.2184,-3.4203,9.1893,9.808
9.087929,-0.8586,-3.2272,7.0812,7.829
9.102147,-2.6069,-1.4760,2.3053,3.780
9.114525,-0.5115,0.6415,3.6569,3.748
9.117726,0.5692,3.2230,3.6931,4.935
9.127851,0.2927,3.0789,2.6498,4.073
9.137860,0.5747,0.8269,3.1988,3.354
9.148531,0.5265,0.4428,3.1548,3.229
9.159530,-0.6520,0.5737,0.0200,0.869
9.169305,-1.8463,0.1444,-1.7640,2.558
9.179151,-2.0563,-0.2344,-3.6090,4.160
9.194881,-0.9741,-0.0179,-5.4616,5.548
9.198577,-0.3303,-0.9046,-5.4624,5.547
9.208351,-0.0988,-1.5206,-5.5260,5.732
9.218257,0.0978,-1.2106,-4.8526,5.002
9.229806,0.2678,-0.7867,-3.6203,3.714
9.239147,0.0328,-0.2450,-2.8529,2.864
9.250121,-0.2307,0.5578,-2.0371,2.125
9.259070,-0.4575,1.3055,-1.0933,1.763
9.269621,0.3217,2.4126,-0.0947,2.436
9.279484,0.6650,2.8093,-0.1019,2.889
9.296863,0.5970,3.3352,-0.5557,3.433
9.300413,1.6341,2.9943,2.7967,4.411
9.309097,1.9928,2.6678,5.3612,6.311
9.319728,1.6008,3.1567,5.1784,6.272
9.329819,1.0957,3.0527,3.3737,4.680
9.342509,0.9425,2.2821,1.4738,2.875
9.350087,0.8373,1.5266,-0.1301,1.746
9.361851,0.3934,1.1165,-1.1295,1.636
9.371796,-0.3595,1.2075,-1.6288,2.059
9.380372,-1.1942,1.6732,-1.9959,2.865
9.396418,-1.8992,2.0232,-2.4796,3.721
9.400959,-2.5940,2.0825,-3.0024,4.481
9.410518,-3.1244,2.0587,-3.6510,5.228
9.428016,-3.2957,1.8774,-4.0612,5.557
9.435428,-3.1151,1.3800,-3.9464,5.214
9.445277,-2.5994,0.7536,-3.1835,4.178
9.460276,-2.1155,0.2432,-2.4590,3.253
9.465524,-1.8525,-0.0628,-2.0628,2.773
9.479417,-2.0523,-0.1946,-2.1036,2.945
9.485617,-2.5844,-0.0252,-2.4075,3.532
9.496434,-3.3071,0.1110,-3.1516,4.570
9.511807,-4.0702,0.2193,-4.0294,5.732
9.516522,-4.6649,-0.2364,-4.7519,6.663
9.526577,-4.3803,-1.1201,-5.1131,6.825
9.536949,-4.2131,-1.7974,-4.9678,6.757
9.547139,-4.1869,-2.6939,-4.8779,6.970
9.560360,-4.0507,-3.2918,-4.3096,6.769
9.567115,-3.2362,-3.1366,-3.5555,5.741
9.577562,-2.5306,-2.9750,-3.4606,5.218
9.587275,-1.5912,-3.0423,-3.1022,4.627
9.596487,-0.5162,-3.2174,-2.3361,4.009
9.612906,0.2712,-3.4307,-1.4856,3.748
9.616811,0.7164,-3.6128,-0.7706,3.763
9.626539,0.7185,-3.7547,0.2046,3.828
9.636768,0.1150,-3.7691,2.3632,4.450
9.646688,0.4749,-3.7005,3.1639,4.892
9.657917,0.0145,-3.4435,4.3021,5.511
9.668360,-0.2298,-2.9251,4.4763,5.352
9.677929,-0.5166,-2.4699,4.0722,4.791
9.687965,-0.5816,-2.1309,3.3277,3.994
9.697261,-0.4793,-1.8518,2.3444,3.026
9.709256,-0.1822,-1.7502,1.4226,2.263
9.717573,0.0574,-1.7748,1.0047,2.040
9.727610,-0.1046,-1.5976,0.8178,1.798
9.737647,-0.5462,-1.1780,0.5240,1.400
9.749157,-0.9933,-0.7837,0.1292,1.272
9.762096,1.4344,-1.7029,0.7899,2.362
9.768087,14.3407,-5.8380,8.2990,17.567
9.777930,0.4660,0.7669,6.1508,6.216
9.788123,-0.3307,0.2098,2.5766,2.606
9.798344,0.1107,-1.5338,0.6035,1.652
9.809553,-1.3653,-2.2773,-3.8053,4.640
9.818781,-3.3370,-0.9581,-8.3786,9.069
9.829166,-2.7355,-2.0658,-0.8825,3.540
9.838493,1.4637,-2.7371,1.0260,3.269
9.849494,1.6862,-2.8970,1.3841,3.626
9.860289,-0.0941,-2.0286,0.0348,2.031
9.869010,-0.2344,-1.4247,-0.7090,1.608
9.881432,-0.3616,-0.7820,-1.6938,1.900
9.890922,-1.2230,-0.4691,-4.5898,4.773
9.899873,-2.4798,-0.3496,-8.2442,8.616
9.909821,-3.4772,-0.3046,-10.5232,11.087
9.919108,-3.5891,-0.2904,-10.6379,11.231
9.929211,-3.8218,-0.2759,-10.7309,11.394
9.943648,-4.0842,-0.3380,-10.5632,11.330
9.949432,4.8637,-4.8583,33.6942,34.388
9.959401,-0.6479,-2.9923,6.2379,6.949
9.970144,-1.0697,-1.2821,-8.2665,8.433
9.980106,0.1759,-0.3025,0.9720,1.033
9.994197,-0.2274,0.2315,0.7035,0.775
10.000988,-0.2243,-0.2664,0.4137,0.541
10.010909,-0.0636,-0.0185,-0.1168,0.134
10.018698,-0.1528,-0.0518,0.4737,0.500
10.025809,-0.1552,-0.0982,-0.1714,0.251
10.039161,-0.1198,-0.0300,0.2830,0.309
10.106966,-0.1422,-0.0878,-0.1478,0.223
10.107493,-0.1671,-0.0423,0.7068,0.728
10.107778,-0.0921,-0.1143,-0.1815,0.233
10.107946,-0.1382,-0.0225,0.1547,0.209
10.108106,-0.1814,-0.1159,0.3120,0.379
10.108254,-0.1008,-0.0420,-0.1643,0.197
10.108403,-0.1866,-0.0455,0.5458,0.579
10.115699,-0.1350,-0.0962,0.0307,0.169
10.129589,-0.1097,-0.0293,-0.0530,0.125
10.136230,-0.1503,-0.1082,0.3139,0.364
10.145866,-0.1244,-0.0664,0.1195,0.185
10.166411,-0.1446,-0.0806,0.1395,0.217
10.167600,-0.1444,-0.0784,0.0830,0.184
10.181064,-0.1215,-0.0760,0.1079,0.179
10.186320,-0.1389,-0.0700,0.0766,0.173
10.197122,-0.1396,-0.0999,0.2699,0.320
10.209113,-0.1232,-0.0688,0.1701,0.221
10.217594,-0.0873,-0.0470,-0.0263,0.103
10.226930,-0.1618,-0.0828,0.2235,0.288
10.238433,-0.1353,-0.0562,0.1931,0.242
10.247929,-0.1196,-0.0514,0.1627,0.208
10.263964,-0.1350,-0.0980,0.1802,0.246
10.267294,-0.1252,-0.0704,0.0424,0.150
10.277281,-0.1112,-0.0703,0.1546,0.203
10.287105,-0.1238,-0.0452,0.2498,0.282
10.297136,-0.1287,-0.0476,0.1512,0.204
10.307907,-0.1238,-0.0700,0.0397,0.148
10.317566,-0.1295,-0.0720,0.2045,0.252
10.327828,-0.1406,-0.0621,0.1789,0.236
10.338684,-0.1242,-0.0629,0.1521,0.206
10.348486,-0.1188,-0.0709,0.1517,0.205
10.362158,-0.1330,-0.0774,0.0605,0.165
10.368400,-0.1323,-0.0542,0.1572,0.212
10.378010,-0.1130,-0.0693,0.1902,0.232
10.388388,-0.1349,-0.0671,0.1623,0.221
10.398591,-0.1335,-0.1312,0.0663,0.199
10.409399,-0.1484,-0.0817,0.1437,0.222
10.418531,-0.1555,-0.1241,0.1601,0.255
10.430000,-0.1491,-0.0218,0.2409,0.284
10.442624,-0.0988,-0.0607,0.1172,0.165
10.448659,-0.1303,0.0010,0.0536,0.141
10.459883,-0.1168,-0.0248,0.1335,0.179
10.469230,-0.1133,-0.0181,0.1996,0.230
10.479099,-0.1096,-0.0445,0.1303,0.176
10.501672,-0.1353,-0.0624,0.1046,0.182
10.502566,-0.1131,-0.0401,0.1122,0.164
10.517921,-0.1031,-0.0475,0.0915,0.146
10.519608,-0.1181,-0.0452,0.1772,0.218
10.529682,-0.1235,-0.0845,0.1448,0.208
10.542483,-0.1030,-0.0664,0.0646,0.139
10.549413,-0.1050,-0.0674,0.1000,0.160
10.560207,-0.1118,-0.0623,0.1961,0.234
10.570440,-0.0908,-0.0564,0.1163,0.158
10.580881,-0.1147,-0.0590,0.1073,0.168
10.595892,-0.0885,-0.0542,0.0878,0.136
10.600389,-0.1026,-0.0400,0.1170,0.161
10.610178,-0.1235,-0.0368,0.1457,0.194
10.625411,-0.0948,-0.0349,0.1150,0.153
10.634943,-0.1015,-0.0507,0.0777,0.138
10.645562,-0.0867,-0.0392,0.1047,0.141
10.661246,-0.0898,-0.0539,0.1336,0.170
10.666065,-0.0908,-0.0484,0.1278,0.164
10.676670,-0.1001,-0.0450,0.0986,0.148
10.686426,-0.0975,-0.0440,0.0722,0.129
10.696666,-0.0828,-0.0361,0.0910,0.128
10.708729,-0.1131,-0.0368,0.1237,0.172
10.715785,-0.0712,-0.0446,0.0898,0.123
10.726355,-0.0734,-0.0663,0.0483,0.110
10.736052,-0.0850,-0.0347,0.0663,0.113
10.746034,-0.1056,-0.0436,0.1100,0.159
10.758666,-0.0685,-0.0298,0.0975,0.123
10.766416,-0.0756,-0.0282,0.1018,0.130
10.776222,-0.0624,-0.0360,0.0636,0.096
10.786489,-0.0905,-0.0225,0.0743,0.119
10.797087,-0.0700,-0.0457,0.0978,0.129
10.814257,-0.0875,-0.0332,0.0691,0.116
10.816501,-0.0554,-0.0280,0.0562,0.084
10.833342,-0.0885,-0.0334,0.0493,0.107
10.836933,-0.0694,-0.0129,0.0768,0.104
10.846728,-0.0470,-0.0269,0.1073,0.120
10.861203,-0.0556,-0.0440,0.0737,0.102
10.867201,-0.0640,-0.0244,0.0525,0.086
10.878437,-0.0651,-0.0216,0.0763,0.103
10.888439,-0.0616,-0.0331,0.0574,0.090
