time,ax (m/s^2),ay (m/s^2),az (m/s^2),aT (m/s^2)
1.238852,-0.0120,-0.0132,0.0078,0.019
1.251737,-0.0014,-0.0071,-0.0030,0.008
1.259200,-0.0333,-0.0021,0.0289,0.044
1.270586,-0.0021,0.0062,-0.0058,0.009
1.282020,-0.0115,-0.0021,-0.0033,0.012
1.288243,-0.0007,0.0003,0.0062,0.006
1.298235,0.0040,-0.0103,-0.0269,0.029
1.308747,-0.0114,-0.0017,0.0159,0.020
1.318842,0.0229,-0.0147,-0.0185,0.033
1.329437,0.0001,0.0278,0.0148,0.032
1.340355,0.0108,-0.0186,0.0181,0.028
1.350756,-0.0023,0.0041,-0.0140,0.015
1.359105,0.0082,-0.0228,0.0204,0.032
1.370244,-0.0073,-0.0142,0.0200,0.026
1.381367,-0.0024,0.0109,-0.0156,0.019
1.388912,0.0069,0.0037,-0.0036,0.009
1.399460,0.0010,0.0072,-0.0106,0.013
1.409193,0.0183,0.0102,0.0072,0.022
1.418556,-0.0118,0.0064,0.0307,0.033
1.425747,-0.0063,-0.0061,-0.0087,0.012
1.436943,-0.0049,0.0072,-0.0168,0.019
1.444333,-0.0149,0.0181,0.0306,0.039
1.455645,-0.0037,-0.0198,0.0230,0.031
1.465053,0.0108,0.0087,-0.0198,0.024
1.475174,-0.0045,-0.0009,-0.0112,0.012
1.484853,-0.0067,-0.0161,0.0349,0.039
1.494753,-0.0045,-0.0159,-0.0269,0.032
1.505478,0.0082,-0.0002,0.0171,0.019
1.516089,0.0137,0.0268,0.0216,0.037
1.527489,0.0030,-0.0045,-0.0271,0.028
1.538555,0.0019,-0.0141,0.0016,0.014
1.545801,-0.0523,-0.0009,0.0522,0.074
1.556077,-0.3691,0.1811,0.3351,0.530
1.566312,-0.4791,0.3009,-0.0146,0.566
1.575510,-1.4117,0.9353,-0.1724,1.702
1.585508,-2.1339,0.9644,0.0730,2.343
1.596783,-2.2012,0.8631,0.0728,2.365
1.606039,-1.7191,0.4923,0.0195,1.788
1.627130,-1.0183,0.0546,0.1049,1.025
1.630450,-0.2718,-0.3848,0.3041,0.561
1.641636,0.3041,-0.8918,0.4820,1.058
1.652679,0.8334,-1.3179,0.6747,1.699
1.661542,1.1060,-1.5443,0.9733,2.134
1.672361,0.9979,-1.4984,0.5776,1.891
1.684868,0.7656,-1.2003,1.0248,1.754
1.692668,0.3085,-0.8770,2.1124,2.308
1.703690,-0.0538,-0.4663,2.1546,2.205
1.712005,-0.0875,-0.4072,2.0856,2.127
1.721768,0.0257,-0.5881,1.3564,1.479
1.732611,0.0224,-0.4443,0.3764,0.583
1.741967,0.1020,0.0939,-0.2309,0.269
1.752418,0.2179,0.3078,-0.7341,0.825
1.769525,0.4128,0.1432,-0.8577,0.963
1.774159,0.4687,-0.2019,-0.9761,1.101
1.783712,0.2517,-0.4079,-1.1555,1.251
1.792260,0.0664,-0.2581,-1.1580,1.188
1.804583,0.0323,0.0326,-1.2041,1.205
1.814805,0.0562,0.3298,-1.3814,1.421
1.818420,-0.2011,0.3510,-1.3524,1.412
1.828002,-1.4814,0.3792,-1.1920,1.939
1.838665,-1.6338,1.1867,-0.8376,2.186
1.848843,-1.5171,1.6098,0.2580,2.227
1.861707,-1.4176,1.8632,0.3870,2.373
1.872746,-0.6844,1.6336,0.0397,1.772
1.878269,1.1082,1.0420,-0.2548,1.542
1.888451,1.9730,0.2328,-0.9280,2.193
1.898605,2.3753,-0.7254,0.1891,2.491
1.908425,2.9223,-1.6535,1.7400,3.782
